venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
VRA Ground,2018,Papua New Guinea,Bangladesh,84,86,6,2,67.2,90.52631578947368,5,10,16,37,21,0,170,2,0,Bangladesh
VRA Ground,2018,Scotland,Ireland,98,99,2,1,78.4,99.0,4,8,16,35,18,0,197,1,0,Ireland
Sportpark Maarschalkerweerd,2018,Netherlands,Bangladesh,42,44,10,3,37.16814159292036,88.0,3,7,16,28,1,0,86,2,0,Bangladesh
VRA Ground,2018,United Arab Emirates,Papua New Guinea,83,84,10,8,65.87301587301587,67.74193548387096,6,3,20,22,22,10,167,1,0,Papua New Guinea
Sportpark Maarschalkerweerd,2018,Scotland,Thailand,97,70,7,10,79.50819672131148,66.66666666666666,9,3,12,28,21,0,167,27,1,Scotland
VRA Ground,2018,Uganda,Ireland,78,79,8,2,61.417322834645674,102.59740259740259,3,7,10,39,15,0,157,1,0,Ireland
Sportpark Maarschalkerweerd,2018,United Arab Emirates,Bangladesh,39,40,10,2,39.795918367346935,93.02325581395348,1,6,15,31,0,0,79,1,0,Bangladesh
VRA Ground,2018,Papua New Guinea,Netherlands,129,85,5,10,94.16058394160584,83.33333333333334,8,4,31,33,23,0,214,44,1,Papua New Guinea
VRA Ground,2018,Ireland,Papua New Guinea,113,86,6,10,91.869918699187,69.35483870967742,11,2,28,14,18,11,199,27,1,Ireland
Sportpark Maarschalkerweerd,2018,Netherlands,Uganda,118,119,3,4,95.9349593495935,100.84745762711864,10,12,28,22,15,13,237,1,0,Uganda
